Date	Data release	Code version	Sets	Wells	Experiments	Images	Planes	Size (TB)	Files (Million)	DB Size (GB)	Studies
2022-09-29	prod110	0.11.0	20184	1858535		13113224	109031551	335.25245153854803	32.117502	592.308646559	113
2022-10-31	prod111	0.11.1	20198	1863085		13131424	109067951	335.354812835978	32.153914	600.25	114
2022-12-08	prod112	0.11.2	20200	1863085		13131492	109068155	335.357682150152	32.154119	600.45	115
2023-01-17	prod113	0.11.3	21213	1867631		13662110	110687834	352.745128912615	32.703572	631.443993247	117
2023-02-06	prod114	0.11.4	21231	1867631		13666719	112351811	353.002809401885	32.71232	632.68	118
2023-04-05	prod115	0.11.5	21241	1867631		13666786	112351932	353.24066633370103	32.712522	632.94	119
2023-06-19	prod116	0.11.6	21244	1867631		13666889	112579612	361.493111168089	32.712832	635.26	120
2023-07-17	prod117	0.11.7	21278	1868391		13669915	114328594	364.65287765647497	34.464906	446.54	121
2023-08-17	prod118	0.11.8	21390	1892574		13752698	115179939	365.933575229006	34.950326	449.37	123
2023-10-09	prod119	0.11.9	21617	1978974		14012392	118390729	384.893134429384	38.160129	468.92	125
