idrid	image_id	data_location	is_zarr	download_url	client_path	bia_ngff_id	bia_url	external_info
idr0073	9798441	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0073-schaadt-immuneinfiltrates	uod/idr/filesets/idr0073-schaadt-immuneinfiltrates/20191119-ftp_ometiff/breastCancer1.ome.tiff			
idr0072	12794626	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0072-schormann-subcellref	uod/idr/filesets/idr0072-schormann-subcellref/20210420-plates/WS_MCF10A-landmark_library_20180506_Meas_01/001001001.flex			
idr0071	12231056	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0071-feldman-crisprko	uod/idr/filesets/idr0071-feldman-crisprko/20201027-companions/companions/experimentA/process/10X_A1_Tile-102.aligned.companion.ome			
idr0070	9840217	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0070-kerwin-hdbr	uod/idr/filesets/idr0070-kerwin-hdbr/20200417-Batch4/HDBR_ACTA2_IHC/E51_12pcw_134_ACTA2.jpg			
idr0069	8833368	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0069-caldera-perturbome	uod/idr/filesets/idr0069-caldera-perturbome/20190926-ftp/1315001__2014-01-25T18_26_59-Measurement1/Images/Index.idx.xml			
idr0068	13462847	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0068-shah-zebrafishlightsheet	uod/idr/filesets/idr0068-shah-zebrafishlightsheet/20211117-ometiff/image.ome.tiff			
idr0067	9036347	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0067-king-yeastmeiosis	uod/idr/filesets/idr0067-king-yeastmeiosis/20190924-ftp/Figure 1B/1B_010618_Hsp104Htb1_Meiosis_01_47_R3D_D3D.dv		https://www.ebi.ac.uk/biostudies/studies/S-BIAD15	
idr0066	8343603	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0066-voigt-mesospim	uod/idr/filesets/idr0066-voigt-mesospim/20190802-ftp/ExperimentA/data/ExpA_VIP_ASLM_off_MIP_XZ_1084to1115.tif			
idr0065	9022301	Github	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0065-camsund-crispri	uod/idr/metadata/idr0065-camsund-crispri/experimentA/companions/subpool-1_run-1_EXP-19-BQ3550/pheno/subpool-1_run-1_EXP-19-BQ3550.companion.ome			
idr0064	9821701	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD992.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD992/ec0b496e-2d48-44ed-be4d-0339f8927eef/ec0b496e-2d48-44ed-be4d-0339f8927eef.zarr/.zattrs	S-BIAD992		
